Physican Demographics,,,,,,Current Treatment ,,,,,,,,,,,,,,,,,,Physician perceptions of product attributes for treatment of episodic migraine,,,,,,,,,,,,Physician perception of products currently available in the market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physician initial reactions to RELIEVE product information,,,,,,,,,,,,,Estimated future use of RELEIVE and existing treatments,,,,,,,,,Physician attitudes for treatment of migraine,,,,,,,,,
HCP ID,Primary Medical  Specialty,Years in practice,Primary Practice Setting,Number of patients personally managed in a typical month for all conditions,Number of migraine patients personally managed in a typical month,Out of migraine patients personally managed in a typical month (% patients),,Treatment type for episodic migraine patients personally managed in a typical month (% patients),,,,Treatment type for chronic migraine patients personally managed in a typical month (% patients),,,,% episodic migraine patients receiving below acute tx,,,,,,,,"Importance of product attributes when selecting an acute treatment for episodic migraine patients, on a scale of 1-7 where 1 is “Not at all important” and 7 is “Extremely important”",,,,,,,,,,,,"Level of satisfaction with each of the following acute treatment options for episodic migraine headache, on a scale of 1 to 7, where 1 is ""Not at all satisfied"" and 7 is ""Extremely satisfied’",,,,,"Performance of NSAIDs (Rx or OTC) on below product attributes for acute treatment of episodic migraine, on a scale of 1 to 7, where 1 means “Does not perform well at all” and 7 means “Performs extremely well”",,,,,,,,,,,,"Performance of Triptans on below product attributes for acute treatment of episodic migraine, on a scale of 1 to 7, where 1 means “Does not perform well at all” and 7 means “Performs extremely well”",,,,,,,,,,,,"Performance of Opioids on below product attributes for acute treatment of episodic migraine, on a scale of 1 to 7, where 1 means “Does not perform well at all” and 7 means “Performs extremely well”",,,,,,,,,,,,"Performance of Barbituates on below product attributes for acute treatment of episodic migraine, on a scale of 1 to 7, where 1 means “Does not perform well at all” and 7 means “Performs extremely well”",,,,,,,,,,,,"Likelihood to prescribe 'RELIEVE', on a scale of 1-7 where 1 is “Not at all likely” and 7 is “Extremely likely”","Performance of RELIEVE on below product attributes for acute treatment of episodic migraine, on a scale of 1 to 7, where 1 means “Does not perform well at all” and 7 means “Performs extremely well”",,,,,,,,,,,,% episodic migraine patients receiving below acute tx when RELIEVE is also available in the market,,,,,,,,,"Physician's level of agrrement  on below treatment related attitudes/perceptions, on a 1 to 7 scale where 1 is “completely disagree” and 7 is “completely agree”",,,,,,,,,
,,,,,,"% experience episodic migraine, defined as an average of 0-14 headache days per month","% experience chronic migraine, defined as an average of 15+ headache days per month with 8 of the headache days being migrainous",% Acute treatment only,% Preventive treatment only,% Acute and preventive treatment,% No treatment for migraine,% Acute treatment only,% Preventive treatment only,% Acute and preventive treatment,% No treatment for migraine,"Rx or OTC NSAIDs (e.g., naproxen, ibuprofen)","Triptans (e.g., sumatriptan, rizatriptan)",Triptan+naproxen fixed dose combination,"Ergotamine therapy (e.g., Ergotamine, Dihydroergotamine)","Opioid therapy (e.g., naloxone)","Barbiturate therapy (e.g., Fioricet, Fiorinal)",Other OTC pain medications,Other treatments,% of patients that achieve pain RELIEF (reduction from moderate or severe pain to mild or no pain),"% of patients that achieve pain FREEDOM (reduction from mild, moderate or severe pain to no pain)","% of patients that show an improvement in the most common migraine associated symptoms (photophobia, phonophobia, and nausea)",Time to onset of pain relief,Ability to sustain response long-term (i.e. duration of pain relief or pain freedom),Side effects,"Route of administration (oral conventional tablet, orally dissolving tablet, sub-cutaneous injection, nasal spray, etc.)",Mechanism of action,Discontinuation rates ,Risk of medication overuse headache (MOH) or rebound headache,Your familiarity with treatment,Efficacy regardless of when the drug is administered during the headache phase,Rx or OTC NSAIDs,Triptans,Ergotamine therapy,Opioids,"Barbiturates (Fioricet, Fiorinal, etc.)",% of patients that achieve pain RELIEF (reduction from moderate or severe pain to mild or no pain),"% of patients that achieve pain FREEDOM (reduction from mild, moderate or severe pain to no pain)","% of patients that show an improvement in the most common migraine associated symptoms (photophobia, phonophobia, and nausea)",Time to onset of pain relief,Ability to sustain response long-term (i.e. duration of pain relief or pain freedom),Side effects,"Route of administration (oral conventional tablet, orally dissolving tablet, sub-cutaneous injection, nasal spray, etc.)",Mechanism of action,Discontinuation rates ,Risk of medication overuse headache (MOH) or rebound headache,Your familiarity with treatment,Efficacy regardless of when the drug is administered during the headache phase,% of patients that achieve pain RELIEF (reduction from moderate or severe pain to mild or no pain),"% of patients that achieve pain FREEDOM (reduction from mild, moderate or severe pain to no pain)","% of patients that show an improvement in the most common migraine associated symptoms (photophobia, phonophobia, and nausea)",Time to onset of pain relief,Ability to sustain response long-term (i.e. duration of pain relief or pain freedom),Side effects,"Route of administration (oral conventional tablet, orally dissolving tablet, sub-cutaneous injection, nasal spray, etc.)",Mechanism of action,Discontinuation rates ,Risk of medication overuse headache (MOH) or rebound headache,Your familiarity with treatment,Efficacy regardless of when the drug is administered during the headache phase,% of patients that achieve pain RELIEF (reduction from moderate or severe pain to mild or no pain),"% of patients that achieve pain FREEDOM (reduction from mild, moderate or severe pain to no pain)","% of patients that show an improvement in the most common migraine associated symptoms (photophobia, phonophobia, and nausea)",Time to onset of pain relief,Ability to sustain response long-term (i.e. duration of pain relief or pain freedom),Side effects,"Route of administration (oral conventional tablet, orally dissolving tablet, sub-cutaneous injection, nasal spray, etc.)",Mechanism of action,Discontinuation rates ,Risk of medication overuse headache (MOH) or rebound headache,Your familiarity with treatment,Efficacy regardless of when the drug is administered during the headache phase,% of patients that achieve pain RELIEF (reduction from moderate or severe pain to mild or no pain),"% of patients that achieve pain FREEDOM (reduction from mild, moderate or severe pain to no pain)","% of patients that show an improvement in the most common migraine associated symptoms (photophobia, phonophobia, and nausea)",Time to onset of pain relief,Ability to sustain response long-term (i.e. duration of pain relief or pain freedom),Side effects,"Route of administration (oral conventional tablet, orally dissolving tablet, sub-cutaneous injection, nasal spray, etc.)",Mechanism of action,Discontinuation rates ,Risk of medication overuse headache (MOH) or rebound headache,Your familiarity with treatment,Efficacy regardless of when the drug is administered during the headache phase,,% of patients that achieve pain RELIEF (reduction from moderate or severe pain to mild or no pain),"% of patients that achieve pain FREEDOM (reduction from mild, moderate or severe pain to no pain)","% of patients that show an improvement in the most common migraine associated symptoms (photophobia, phonophobia, and nausea)",Time to onset of pain relief,Ability to sustain response long-term (i.e. duration of pain relief or pain freedom),Side effects,"Route of administration (oral conventional tablet, orally dissolving tablet, sub-cutaneous injection, nasal spray, etc.)",Mechanism of action,Discontinuation rates ,Risk of medication overuse headache (MOH) or rebound headache,Your familiarity with treatment,Efficacy regardless of when the drug is administered during the headache phase,RELIEVE,"Rx or OTC NSAIDs (e.g., naproxen, ibuprofen)","Triptans (e.g., sumatriptan, rizatriptan)",Triptan+naproxen fixed dose combination,"Ergotamine therapy (e.g., Ergotamine, Dihydroergotamine)","Opioid therapy (e.g., naloxone)","Barbiturate therapy (e.g., Fioricet, Fiorinal)",Other OTC pain medications,Other treatments (Please specify),"Assuming all else is equal, a subcutaneous product would be significantly preferred over an intravenous product",An acute treatment administered as an IV infusion would be economically beneficial to my practice.,I would be willing to work through significant insurance hurdles in order to prescribe Product X to my migraine patients,Side effect profile is something that prevents me from prescribing triptans as much as I would otherwise,I typically initiate treatment at the minimally effective dose when treating migraine,I see my migraine patients several times per year (every 2-3 months),My patients are compliant and always take their acute migraine medications when I tell them to ,I feel that my patients are properly educated as to how to properly take their acute treatment(s) for migraine,I feel that triptans and ergots are not sufficiently efficacious for the acute treatment of migraine in a significant portion of my patients ,Patients who are contraindicated to triptans have a high unmet need with regard to acute treatments for migraine
respid,cqhidSpecialty,cqS4,cqS6,cqS7,cqS8,cqA1_1,cqA1_2,cqA2x1_1,cqA2x1_2,cqA2x1_3,cqA2x1_4,cqA2x2_1,cqA2x2_2,cqA2x2_3,cqA2x2_4,cqA6_1,cqA6_2,cqA6_3,cqA6_4,cqA6_5,cqA6_6,cqA6_7,cqA6_98,cqA8_1_2,cqA8_2_2,cqA8_3_2,cqA8_4_2,cqA8_5_2,cqA8_6_2,cqA8_7_2,cqA8_8_2,cqA8_9_2,cqA8_10_2,cqA8_11_2,cqA8_12_2,cqA9_1_2,cqA9_2_2,cqA9_3_2,cqA9_4_2,cqA9_5_2,cqA10x1_1,cqA10x1_2,cqA10x1_3,cqA10x1_4,cqA10x1_5,cqA10x1_6,cqA10x1_7,cqA10x1_8,cqA10x1_9,cqA10x1_10,cqA10x1_11,cqA10x1_12,cqA10x2_1,cqA10x2_2,cqA10x2_3,cqA10x2_4,cqA10x2_5,cqA10x2_6,cqA10x2_7,cqA10x2_8,cqA10x2_9,cqA10x2_10,cqA10x2_11,cqA10x2_12,cqA10x3_1,cqA10x3_2,cqA10x3_3,cqA10x3_4,cqA10x3_5,cqA10x3_6,cqA10x3_7,cqA10x3_8,cqA10x3_9,cqA10x3_10,cqA10x3_11,cqA10x3_12,cqA10x4_1,cqA10x4_2,cqA10x4_3,cqA10x4_4,cqA10x4_5,cqA10x4_6,cqA10x4_7,cqA10x4_8,cqA10x4_9,cqA10x4_10,cqA10x4_11,cqA10x4_12,cqB1_1,cqB3_1_2,cqB3_2_2,cqB3_3_2,cqB3_4_2,cqB3_5_2,cqB3_6_2,cqB3_7_2,cqB3_8_2,cqB3_9_2,cqB3_10_2,cqB3_11_2,cqB3_12_2,cqB5_10,cqB5_1,cqB5_2,cqB5_3,cqB5_4,cqB5_5,cqB5_6,cqB5_7,cqB5_98,cqG3_1_2,cqG3_2_2,cqG3_3_2,cqG3_4_2,cqG3_6_2,cqG3_7_2,cqG3_10_2,cqG3_17_2,cqG3_18_2,cqG3_19_2
3,General Physician,20,"Office-based, solo practice ",300,30,60%,40%,70%,10%,20%,0%,30%,10%,60%,0%,30%,60%,10%,10%,5%,10%,0%,0%,6,6,6,7,6,7,6,6,6,6,6,6,5,6,5,4,5,5,5,5,5,5,5,5,5,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,4,3,5,5,5,3,6,5,5,5,5,5,5,5,5,5,5,4,5,5,6,6,5,6,,,5,5,5,,,,6,20%,20%,50%,10%,10%,5%,5%,0%,0%,5,6,6,6,6,6,6,6,6,5
19,General Physician,8,"Office-based, group practice",500,50,50%,50%,50%,25%,25%,0%,25%,25%,50%,0%,75%,10%,15%,0%,0%,0%,0%,0%,6,4,4,6,6,4,5,4,5,5,6,6,6,5,,,,4,5,5,4,6,4,5,4,5,4,6,5,5,5,4,4,5,4,5,6,5,5,6,4,,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,4,,,6,5,6,,,,6,50%,25%,15%,15%,0%,0%,0%,0%,0%,4,4,6,5,5,6,4,5,4,6
22,General Physician,11,Academic or teaching Hospital,300,50,50%,50%,30%,30%,20%,20%,30%,30%,20%,20%,20%,20%,20%,10%,20%,10%,0%,0%,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,3,5,4,4,4,4,4,5,4,5,4,5,5,5,4,4,5,5,5,4,3,5,4,4,4,6,6,5,5,6,4,6,6,5,6,5,6,5,5,4,5,5,5,4,4,5,5,5,3,6,5,5,5,,,5,5,5,,,,6,20%,10%,10%,10%,20%,10%,10%,10%,0%,5,4,5,4,4,4,4,4,4,4
23,General Physician,24,"Office-based, solo practice ",400,30,80%,20%,60%,10%,30%,0%,30%,30%,40%,0%,15%,80%,5%,0%,0%,0%,5%,0%,7,7,7,7,7,6,6,6,6,7,7,6,4,6,,,,6,4,2,4,4,4,3,6,5,5,7,3,6,6,6,6,6,4,6,6,5,5,7,6,,,,,,,,,,,,,,,,,,,,,,,,,6,7,6,6,,,7,6,7,,,,7,20%,10%,80%,2%,0%,0%,0%,5%,0%,5,3,7,6,7,7,6,5,7,7
26,General Physician,22,"Office-based, group practice",400,50,95%,5%,10%,0%,90%,0%,0%,0%,100%,0%,100%,90%,0%,0%,0%,10%,0%,0%,5,4,4,6,6,7,4,1,4,4,7,4,4,5,,,5,4,4,2,6,6,7,7,4,7,7,7,6,4,6,5,5,6,2,6,4,4,7,7,5,,,,,,,,,,,,,4,5,2,6,4,4,7,4,4,2,6,6,5,5,4,6,,,7,7,7,,,,6,20%,100%,90%,0%,0%,0%,10%,0%,0%,7,1,4,4,2,3,4,6,4,6
36,General Physician,12,"Office-based, group practice",600,200,80%,20%,90%,10%,0%,0%,50%,0%,50%,0%,30%,20%,20%,10%,5%,5%,10%,0%,5,6,5,5,4,6,3,4,4,5,5,5,4,5,4,4,5,6,5,6,5,5,5,4,4,4,5,5,6,5,5,6,5,4,4,5,5,5,5,6,5,6,6,6,5,6,4,5,4,4,5,5,5,5,5,5,4,4,4,5,4,4,5,5,4,5,4,5,5,,,4,4,4,,,,4,5%,25%,20%,20%,10%,5%,5%,10%,0%,4,4,5,5,4,6,5,5,5,6
40,General Physician,18,"Office-based, group practice",525,85,80%,20%,30%,35%,30%,5%,10%,30%,55%,5%,15%,45%,5%,5%,5%,20%,5%,0%,6,6,6,6,7,5,4,5,4,5,6,5,3,5,4,4,4,4,4,4,3,4,4,5,4,3,6,5,5,4,5,4,5,6,5,4,4,4,5,5,5,5,5,4,6,5,4,6,4,4,3,5,5,4,5,4,5,5,5,4,4,5,5,4,4,6,5,6,4,,,5,4,5,,,,5,20%,5%,35%,5%,5%,5%,20%,5%,0%,6,5,5,4,5,6,5,5,5,6
51,General Physician,25,"Office-based, group practice",670,160,45%,55%,40%,30%,25%,5%,10%,55%,15%,20%,0%,30%,25%,25%,10%,10%,0%,0%,6,5,6,6,6,5,4,6,7,7,6,7,,6,7,6,5,,,,,,,,,,,,,7,5,5,7,6,6,7,5,6,7,7,5,7,5,7,6,5,7,7,7,5,6,6,7,7,7,7,6,6,6,6,6,5,7,6,4,7,5,7,4,,,5,5,6,,,,4,100%,0%,0%,0%,0%,0%,0%,0%,0%,4,7,6,7,6,5,7,6,6,5
57,General Physician,28,"Office-based, group practice",300,35,50%,50%,45%,0%,55%,0%,10%,60%,30%,0%,25%,30%,10%,15%,5%,10%,5%,0%,6,6,5,5,7,4,3,6,5,5,5,7,6,5,4,5,3,6,7,5,4,6,4,6,5,5,5,2,7,6,6,6,3,7,3,5,5,5,5,2,7,5,5,5,6,3,3,6,4,4,6,7,4,3,4,4,4,5,2,6,4,2,5,6,4,5,6,6,5,,,5,6,7,,,,5,5%,25%,15%,10%,25%,5%,10%,5%,0%,6,4,6,6,7,7,4,5,6,6
63,General Physician,17,"Office-based, solo practice ",220,30,90%,10%,30%,30%,30%,10%,30%,30%,30%,10%,30%,30%,0%,30%,0%,5%,5%,0%,6,6,6,6,6,6,4,5,5,5,4,5,4,5,5,,5,6,5,6,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5,6,5,6,6,6,6,,,,,,,,,,,,,5,5,5,5,5,6,5,5,6,6,6,6,6,6,6,6,,,6,4,5,,,,5,20%,30%,30%,0%,30%,0%,10%,5%,0%,5,6,6,6,6,6,6,5,6,5
64,General Physician,30,"Office-based, group practice",300,50,90%,10%,65%,5%,30%,0%,10%,20%,70%,0%,70%,60%,20%,5%,0%,0%,0%,0%,7,6,6,6,6,7,5,5,5,6,5,7,3,6,4,,,4,4,4,4,4,6,5,4,4,3,7,4,6,6,6,6,5,5,6,5,5,5,7,6,,,,,,,,,,,,,,,,,,,,,,,,,4,6,6,5,,,7,7,7,,,,6,15%,70%,60%,20%,5%,0%,0%,0%,0%,6,4,4,5,5,4,5,6,5,6
66,General Physician,16,"Office-based, solo practice ",400,100,50%,50%,90%,5%,5%,0%,50%,5%,45%,0%,50%,45%,0%,0%,0%,5%,0%,0%,7,5,5,6,7,7,5,7,7,7,7,7,5,6,,,5,6,4,6,4,7,5,4,6,4,7,7,7,6,7,6,6,7,6,5,6,7,6,7,7,,,,,,,,,,,,,6,6,4,5,4,4,7,6,7,4,5,4,7,7,7,5,,,5,3,7,,,,7,50%,30%,20%,0%,0%,0%,0%,0%,0%,4,4,4,4,4,4,5,7,4,5
